科目名,年度,クォーター,時間割コード,テーマ
グローバル共生社会論,2017,第4クォーター,4H039,本講義では、21世紀社会における「グローバルイシュー」解決への視座を養うために、地球規模（グローバル）の人類の営みについて、空間的広がりだけでなく歴史・時間軸という視座も取り入れながら考察する。人類の営みは歴史的に、生産力や科学技術の発展が起こると、それに呼応する形で社会制度や人間のあり方の変化が生じ、そうして変革された社会制度や人間が、さらに生産力や科学技術の高度化を進める・・・という科学技術（自然科学や工学などの学問対象）と社会制度・人間のあり方（社会科学や人文科学の学問対象）の相互作用の営みを普遍的に繰り返しながら今日まで発展してきた。本講義は、そのような人類史の中で、私たちの生きる今日の時代がどのような位置にあるのかを多様な学問分野から考察し、私たちが地球人類として今後どのような方向性で社会の開発や発展を模索すればよいのかを考えてみたい。
国際コミュニケーション演習Ａ,2017,第1クォーター,1H044,グローバル問題とアフリカのスタディズ
国際コミュニケーション演習Ａ,2017,第1クォーター,1H045,"International Communication I (Spring Semester)Through this course, students will develop their abilities to communicate in English on various topics wich students get easily interested in."
現代社会理論Ａ,2017,第1クォーター,1H062,貧困の共有という事態は、人類の長い歴史において、共同性の基礎にあるものだった。近代後の個人化の過程は、貧困の忘却とともに進展し、現代の私たちの自己認識や社会のありようを帰結している。この授業では、「貧しさ」「私らしさ」をキーワードとして、近現代の時空間についての認識を深めたいと思う。
ソーシャルエンパワメント論,2017,第2クォーター,2H036,現代社会のさまざまな課題の解決の過程において当事者性の高いコミュニティおよび当事者の果たす役割は大きい。本講義を通して、当事者性の高いコミュニティおよび当事者の主体的参加・参画（エンパワメント）をめぐる問題を多領域横断的に理解するとともに、その支援の方法論について考究する。
国際コミュニケーション演習Ｂ,2017,第2クォーター,2H044,グローバル問題とアフリカのスタディズ
国際コミュニケーション演習Ｂ,2017,第2クォーター,2H045,"International Communication I (Spring Semester)Through this course, students will develop their abilities to communicate in English on various topics wich students get easily interested in."
現代社会理論Ｂ,2017,第2クォーター,2H062,貧困の共有という事態は、人類の長い歴史において、共同性の基礎にあるものだった。近代後の個人化の過程は、貧困の忘却とともに進展し、現代の私たちの自己認識や社会のありようを帰結している。この授業では、「貧しさ」「私らしさ」をキーワードとして、近現代の時空間についての認識を深めたいと思う。
ＴＯＥＦＬ演習Ａ,2017,第3クォーター,3H040,"Language is part of culture, and it consists of much more than putting words into sentences. Culture determines habits of mind, how people interact with each other, what kinds of things they talk about or don’t talk about, and how they talk about them. Implicit in the TOEFL test is a cultural bias. The people who write the tests and determine how you should be graded have minds trained by Western culture. This means that, whether they are thinking about it or not, they are looking for answers that conform to a kind of Aristotelian logic that in its simpler modern form is known as critical thinking. In other words, they assume that conversing well means speaking clearly, addressing questions directly, and giving clear support showing that your viewpoint is valid. They assume that writing well means answering the question directly and supporting what you say with facts and reasons. Your score is based in part on how you put English words into English sentences, but also on the logic, the"
国際関係論Ａ,2017,第3クォーター,3H060,冷戦構造の崩壊とグローバリゼーションの進展の下、国際社会の構造にも大きな変化が生じてきている。たとえば民族や宗教の相違を背景とした対立、移民・難民の増加とそれに伴う摩擦の深刻化、他方で国家の枠をこえた地域統合の進展が各地で進んでいる。Aでは、現代国際関係の主要課題を理解する視座を、とくに文化の視点から掘り下げる。外交手法や国家の役割の変化、そして文化が国際社会の橋渡しとともに摩擦要因ともなってきている背景について、理解を深める。
非言語コミュニケーション論１,2017,第3クォーター,3H064,共感や思いやりが社会生活において大切であることには皆さん気づかれていることと思います。それでは、私たちはどのようにして他者の心を理解しているのでしょうか。実は、非言語コミュニケーションが非常に大きな役割を果たしています。面と向かって話していると、電話やメール以上に相手の気持ちが伝わってくるでしょう。私たちは、言語以外を使ってさまざまあ情報を伝え合っているのです。この授業では、ヒト・ヒト幼児・ヒト以外の動物がどのように他者と意思疎通をおこない、感情を理解し、共同生活を営み、社会や文化を形成しているかについてお話します。
心の発達と教育１,2017,第3クォーター,3H091,教師をはじめ子どもの育ちに関わる職業に必要とされる諸知識について，教育心理学の観点から学びます。
発達心理学（幼・小）１,2017,第3クォーター,3H107,本授業は、人間の心の働きの発達をさまざまな観点から学習するものである。発達の各時期の発達課題等を理解し、幼児期から児童期を含む生涯発達の様相と支援についての理解を深めるものである。
ＴＯＥＦＬ演習Ｂ,2017,第4クォーター,4H040,"Language is part of culture, and it consists of much more than putting words into sentences. Culture determines habits of mind, how people interact with each other, what kinds of things they talk about or don’t talk about, and how they talk about them. Implicit in the TOEFL test is a cultural bias. The people who write the tests and determine how you should be graded have minds trained by Western culture. This means that, whether they are thinking about it or not, they are looking for answers that conform to a kind of Aristotelian logic that in its simpler modern form is known as critical thinking. In other words, they assume that conversing well means speaking clearly, addressing questions directly, and giving clear support showing that your viewpoint is valid. They assume that writing well means answering the question directly and supporting what you say with facts and reasons. Your score is based in part on how you put English words into English sentences, but also on the logic, the"
国際関係論Ｂ,2017,第4クォーター,4H060,冷戦構造の崩壊とグローバリゼーションの進展の下、国際社会の構造にも大きな変化が生じてきている。たとえば民族や宗教の相違を背景とした対立、移民・難民の増加とそれに伴う摩擦の深刻化、他方で国家の枠をこえた地域統合の進展が各地で進んでいる。Aでは、現代国際関係の主要課題を理解する視座を、とくに文化の視点から掘り下げる。外交手法や国家の役割の変化、そして文化が国際社会の橋渡しとともに摩擦要因ともなってきている背景について、理解を深める。
非言語コミュニケーション論２,2017,第4クォーター,4H064,共感や思いやりが社会生活において大切であることには皆さん気づかれていることと思います。それでは、私たちはどのようにして他者の心を理解しているのでしょうか。実は、非言語コミュニケーションが非常に大きな役割を果たしています。面と向かって話していると、電話やメール以上に相手の気持ちが伝わってくるでしょう。私たちは、言語以外を使ってさまざまあ情報を伝え合っているのです。この授業では、ヒト・ヒト幼児・ヒト以外の動物がどのように他者と意思疎通をおこない、感情を理解し、共同生活を営み、社会や文化を形成しているかについてお話します。
エスノミュージコロジー２,2017,第4クォーター,4H087,本講義では、視聴覚資料を活用して世界の諸民族の音楽文化を概観してゆくなかで、実は私たちにも身近な問題を提供している民族音楽学の様々なトピックに触れてゆく。そして、近代西洋とは異なる価値体系をもつ音楽世界の多様さを理解し、「異文化を理解する」ということを通して最終的に「自分自身の再発見」へと繋げてゆくことを目指している。
心の発達と教育２,2017,第4クォーター,4H091,教師をはじめ子どもの育ちに関わる職業に必要とされる諸知識について，教育心理学の観点から学びます。
発達心理学（幼・小）２,2017,第4クォーター,4H107,本授業は、人間の心の働きの発達をさまざまな観点から学習するものである。発達の各時期の発達課題等を理解し、幼児期から児童期を含む生涯発達の様相と支援についての理解を深めるものである。
情報リテラシー演習１,2017,第3クォーター,3H037,オンラインコミュニケーション・文書処理・表計算関わる基本的な操作方法を身に付け、情報機器の具体的な活用技能を演習で習得していく。
社会教育計画論１,2017,第3クォーター,3H080,教育についての固定観念を揺るがし、学校教育を相対化させる社会教育に関心を寄せる。その上で、社会教育計画のトピックを提示する。
運動とこころの科学１,2017,第3クォーター,3H085,欧米での、運動やスポーツに関する心理学の名称は「Exercise and Sport Psychology」で、一般人の健康スポーツを対象とした運動心理学と競技スポーツを対象としたスポーツ心理学を区別している。また学校体育の問題を扱う体育心理学、身体動作の習得や表現をテーマにした運動学習など、その内容は多岐に渡っている。そこで本講義では狭義の運動心理学だけではなく、幅広く「運動することと心の関係」について様々なテーマから解説する。単に運動やスポーツに関することだけでなく、人間を理解するうえで、本領域が持っている有効性や面白さを伝えていきたいと考えている。
保育内容研究（造形表現）１,2017,第3クォーター,3H114,幼児教育における造形表現活動について、理論と実践を交えて学びます。
情報リテラシー演習２,2017,第4クォーター,4H037,オンラインコミュニケーション・表計算に関わる応用的な操作方法ならびにデスクトッププレゼンテーションに関わる基本的な操作方法を身に付け、情報機器の高度な活用技能を習得する。
社会教育計画論２,2017,第4クォーター,4H080,さまざまな社会的課題の解決をめざす社会教育のあり方、精神、方法を理解する。
運動とこころの科学２,2017,第4クォーター,4H085,＊「１.」と同じテーマを異なるトピックスからアプローチする．欧米での、運動やスポーツに関する心理学の名称は「Exercise and Sport Psychology」で、一般人の健康スポーツを対象とした運動心理学と競技スポーツを対象としたスポーツ心理学を区別している。また学校体育の問題を扱う体育心理学、身体動作の習得や表現をテーマにした運動学習など、その内容は多岐に渡っている。そこで本講義では狭義の運動心理学だけではなく、幅広く「運動することと心の関係」について様々なテーマから解説する。単に運動やスポーツに関することだけでなく、人間を理解するうえで、本領域が持っている有効性や面白さを伝えていきたいと考えている。
保育内容研究（造形表現）２,2017,第4クォーター,4H114,幼児教育における造形表現活動について、理論と実践を交えて学びます。
教師入門１,2017,第3クォーター,3H112,本講義では、教育基本法、学校教育法、児童福祉法、幼稚園教育要領、保育所保育指針などを踏まえ、乳幼児教育における教師・保育者の職務の意義、役割、倫理、制度的位置づけについて学ぶ。
教師入門２,2017,第4クォーター,4H112,本講義では、乳幼児教育における教師・保育者の職務とその意義を踏まえ、小学校や専門機関との連携・協働、専門性の発達とキャリア形成について学ぶ。
教職論（小）１,2017,第1クォーター,1H106,教職の現代史（戦後史）の学習を通じ、今後の教職のあり方を展望する。教職の意義と教員の役割、教員の職務内容（研修、服務、身分保障等を含む）の中核として教科指導・生活指導、職場の人間関係、保護者や地域社会との関係など、子どもをめぐる環境の変化と教師のしごとの変化に関する諸問題の検討を通じ、その時々を戦後日本の教師たちはどのように生きてきたのかを考える。
教職論（小）２,2017,第2クォーター,2H106,「教職論１」で学習した教職の現代史的理解を踏まえて、教職の意義と教員の役割、教員の職務内容（研修、服務、身分保障等を含む）の中核としての教科指導と生活指導、職場の人間関係、保護者や地域社会との関係など、子どもをめぐる環境の変化に伴う教師のしごとの変化に関する諸問題の検討を通じ、教職の現在を理解し、未来を展望する。
からだの構造と機能１,2017,第3クォーター,3H082,この授業のテーマは、人体に関する「解剖学」と「生理学」である。
人とアート論１,2017,第3クォーター,3H088,芸術の創造と解釈
教育経営学（幼・小）１,2017,第3クォーター,3H108,本講義では教育経営学の立場から、複雑化・加速化する教育課題を踏まえ、教育の理想の実現をめぐる諸条件（社会的要請や資源制約等）を「現実的」に考え、目的設定・共有から実施・評価・改善に至る展開過程や、その実現を左右する人々の協働関係等を可能な限り「動態的」に把握・構築・実践する力量の基礎を培う。
保育内容研究（児童文化と言葉）１,2017,第3クォーター,3H116,この授業では、幼稚園教育要領の領域「言葉」について、乳幼児期の言語発達を踏まえながら、乳幼児のコミュニケーションや児童文化を通した言葉の習得の指導法について講義する。
第二言語習得論２,2017,第4クォーター,4H063,第二言語習得論では，第一言語（母語）ではない言語（第二言語，外国語）を私たちがどのような過程を経て習得・学習するのか，またその学習・習得にはどのような要因が関わるのかを扱います．この授業では第二言語習得論が成立した背景を取り上げるとともに，第二言語習得の代表的な理論を概観します．特に英語を外国語（あるいは第二言語）とする人たちが英語を習得する際に関係する言語学的，認知心理学的な要因と英語習得のプロセスについて取り上げます．
からだの構造と機能２,2017,第4クォーター,4H082,この授業のテーマは、人体に関する「解剖学」と「生理学」である。
人とアート論２,2017,第4クォーター,4H088,人とアートの関わりとその歴史
教育経営学（幼・小）２,2017,第4クォーター,4H108,本講義では教育経営学の立場から、特に学校と地域等との関係構築に関する知見の習得を目指す。特定の教育理念の実現を目指し、社会に渦巻く様々な人・諸機関・資源（社会的諸力）を組織化し、効果的に運用・活用する営みという側面から教育経営をとらえ、教職の充実・発展に資することを目指す。
保育内容研究（児童文化と言葉）２,2017,第4クォーター,4H116,この授業では、幼稚園教育要領の領域「言葉」について、乳幼児期の言語発達を踏まえながら、乳幼児のコミュニケーションや児童文化を通した言葉の習得の指導法について講義する。
教育行政学（中・高）１,2017,第1クォーター,1H204,日本の教育行政を全体的に理解した上で，「教育改革」というテーマにおいてどのような社会的・制度的・経営的事項が生じ，また営まれているのかを知る。
教育行政学（中・高）２,2017,第2クォーター,2H204,日本の教育行政を全体的に理解した上で，「教育改革」というテーマにおいてどのような社会的・制度的・経営的事項が生じ，また営まれているのかを知る。
日本社会文化論Ａ,2017,第1クォーター,1H055,文化交流に焦点をあてながら、日本学とはなにかを講義
文化人類学１,2017,第1クォーター,1H059,グローバル化や国際化の加速度的な進展とともに、地球上のすべての社会を取り巻く文化的環境は大きく変化している。それに伴い、文化人類学では、新しい知の体系を再構築するべく現代的および実践的な問題を積極的に扱うようになった。本授業では、世界の文化や社会の多様性を学ぶとともに、親族や儀礼などのほか開発、観光、紛争といった現代的な諸テーマを取り上げる。
日本社会文化論Ｂ,2017,第2クォーター,2H055,【第1クォーターの「日本社会文化論A」とあわせて履修することがのぞましい】文化交流に焦点をあてながら、日本学とはなにかを講義
文化人類学２,2017,第2クォーター,2H059,グローバル化や国際化の加速度的な進展とともに、地球上のすべての社会を取り巻く文化的環境は大きく変化している。それに伴い、文化人類学では、新しい知の体系を再構築するべく現代的および実践的な問題を積極的に扱うようになった。本授業では、世界の文化や社会の多様性を学ぶとともに、親族や儀礼などのほか開発、観光、紛争といった現代的な諸テーマを取り上げる。
フィールドワーク基礎論,2017,第3クォーター,3H034,事実はフィールドワークから始まる。事実は、「すでにある」ものではない。事実を生み出す主体による成果として、ようやく事実は立ち現れる。この科目は、受講生が事実を生む主体となることを想定し、それぞれのフィールドで、フィールドワークを行うにあたって必要な知識、知恵、思索の糸口を提供するためのものである。観察、インタビュー、統計といった技法、フィールドノーツの考え方とつけ方、調査計画の立て方、そして調査報告のまとめ方に至るまでを論じたいと思う。
異文化間教育論１,2017,第3クォーター,3H035,グローバル化の進展と共に、文化を異にする人々との接触機会も増え、異なる文化間の移動の機会も多くなった。本授業では、文化間移動の場として教育に焦点を当てる。そして今後ますます多文化化が進捗する学校教育のあり方について、実際の教室での授業や児童生徒の受け入れなどについて考える。
初等算数論１,2017,第3クォーター,3H109,算数科の「内容（Ａ．数と計算、Ｂ．量と測定）」について、保幼小連携という視点からその意義を知り、数学的な観点からの理解を高める。また、「数学的活動」を行うことによって「算数・数学の知識の活用」と「問題解決能力の育成」について考察する。
異文化間教育論２,2017,第4クォーター,4H035,異文化接触によって生じる様々な問題について認識し、理解を深めることにより、今後ますます多文化化が予想される教育現場において、そこで生じる事象に対して予測し、対応できる知識を得る。
初等算数論２,2017,第4クォーター,4H109,算数科の「内容（Ｂ．量と測定、Ｃ．図形、Ｄ．数量関係）」について、保幼小連携という視点からその意義を知り、数学的な観点からの理解を高める。また、「算数的活動」を行うことによって「算数・数学の知識の活用」と「問題解決能力の育成」について考察する。
情報科学概論Ａ,2017,第1クォーター,1H051,情報機器が様々な形で私たちの生活に入り込んでいる今日では、社会活動を維持していく上で、コンピュータをはじめとする情報機器の利用は避けて通れない。この講義では、特に国際人間科学部の学生が、コンピュータと関わっていく上で必要となる様々な基本的な知識を紹介する。なかでも、情報科学概論Aではハードウェアの面から紹介する。
保育原理（世界と日本の乳幼児教育）１,2017,第1クォーター,1H105,本講義では、乳幼児教育の意義と本質、目的等、教育の理念について理解する。
情報科学概論Ｂ,2017,第2クォーター,2H051,情報機器が様々な形で私たちの生活に入り込んでいる今日では、社会活動を維持していく上で、コンピュータをはじめとする情報機器の利用は避けて通れない。この講義では、特に国際人間科学部の学生が、コンピュータと関わっていく上で必要となる様々な基本的な知識を紹介する。なかでも、情報科学概論Bではソフトウェアの面から紹介する。
保育原理（世界と日本の乳幼児教育）２,2017,第2クォーター,2H105,本講義では、乳幼児教育の意義と本質、目的等、教育の理念について理解する。国内外の乳幼児教育の要領等にみる普遍的な理念や特徴、歴史および思想について理解す
文化政策論Ａ,2017,第3クォーター,3H058,文化政策とは一般に、文化・芸術を対象とする公共政策を意味し、人間としての尊厳に自ら目覚め、より善き生き方にたいして前向きになれるような環境を、文化分野において整備する政策である。各自の潜在能力に目覚め、それを可能な限り発揮できるように手を差し伸べることが文化政策の使命である。文化政策は人間と社会の形成にとって必要不可欠な、グローバルかつローカルなイシューである。文化政策論Aでは、その理論的基礎と実践方法（アートマネジメント）について論じる。
近現代社会思想論Ａ,2017,第3クォーター,3H061,近代社会をめぐる諸理論
運動の巧みさの科学１,2017,第3クォーター,3H083,人間は，人間として生活していることを当然として受け止めているために，その生活を可能にしている自分自身の身体の機能についてはあまり意識していない．本授業では，私たちの生活やスポーツ活動の中で行っている「人間の身体運動」について「巧みさ」という言葉を手がかりに科学的に分析し，考えようとするものである．　　具体的には，身体運動の発現に重要な役割を担う中枢神経系の構造と機能について学び，現段階で解明されている運動制御メカニズムについて理解するとともに，巧みな動作とはどういうものか，また，巧みな動作を獲得するための方策について考える能力を身につける．　特に「運動の巧みさの科学１」では身体運動の制御に関わる生理学・神経生理学的な基礎知識を理解し，人間が周囲からの多種多様な刺激をどのように受け取っているかを考える．
文化政策論Ｂ,2017,第4クォーター,4H058,文化政策論Bでは、文化政策が都市政策やコミュニティ創生など、市民的公共圏の形成にとって果たすべき役割に重点を置いて、理論と実践、ローカルとグローバルを交差させながら、具体的な事例や諸問題に即して論じる。劇場・音楽堂・美術館などの公共文化施設の運営、ビエンナーレ・トリエンナーレといったアートプロジェクト、音楽祭・演劇祭のようなフェスティバルの事例を通して、グローバル化の中で文化・芸術がどのように創造・発信され、交流・変容しているかを鋭利に捉え直す。
近現代社会思想論Ｂ,2017,第4クォーター,4H061,近代社会をめぐる諸理論
運動の巧みさの科学２,2017,第4クォーター,4H083,人間は，人間として生活していることを当然として受け止めているために，その生活を可能にしている自分自身の身体の機能についてはあまり意識していない．本授業では，私たちの生活やスポーツ活動の中で行っている「人間の身体運動」について「巧みさ」という言葉を手がかりに科学的に分析し，考えようとするものである．　　具体的には，身体運動の発現に重要な役割を担う中枢神経系の構造と機能について学び，現段階で解明されている運動制御メカニズムについて理解するとともに，巧みな動作とはどういうものか，また，巧みな動作を獲得するための方策について考える能力を身につける．　特に「運動の巧みさの科学2」では身体運動の制御に関わる中枢神経系の役割について理解し，人間がどのようにして筋を収縮させ，運動を行っているかをを考える．
社会学,2017,第4クォーター,4H100,この授業では、現代社会の諸課題を理解するために不可欠な社会学的知識を提供する。具体的には(1)社会学の学説史を概説するとともに、(2)具体的な諸問題に即して現代社会学の諸理論を説明する。
グローバルイシュー概論,2017,第1クォーター,1H046,グローバル化した現代社会で生起している環境、災害、民族、宗教、経済格差、人権、教育、社会福祉等に関わる深刻な諸課題、すなわちグローバルイシューを幅広い視点から理解することは、協働型グローバル人材にとって基本的な課題である。この授業では、多様なグローバルイシューを文理の枠を越えて深く理解できる想像力と共感力を培うため、本学部の4学科の教員がオムニバス形式でそれぞれの専門的観点からグローバルな課題の具体例をわかりやすく説明する。
グローバルイシュー概論,2017,第1クォーター,1H047,グローバル化した現代社会で生起している環境、災害、民族、宗教、経済格差、人権、教育、社会福祉等に関わる深刻な諸課題、すなわちグローバルイシューを幅広い視点から理解することは、協働型グローバル人材にとって基本的な課題である。この授業では、多様なグローバルイシューを文理の枠を越えて深く理解できる想像力と共感力を培うため、本学部の4学科の教員がオムニバス形式でそれぞれの専門的観点からグローバルな課題の具体例をわかりやすく説明する。
異文化コミュニケーション論,2017,第2クォーター,2H031,グローバル化の進展とともに世界各地で民族、宗教、資源などをめぐって紛争が頻発している現在、異文化理解の重要性が急務だと言われ続けてきた。しかし文化とは単一・均質・不変の実体ではなく流動的な複合体であり、しかも文化情報の伝達過程ではつねに「ずれ」が生じざるをえない。〈文化〉や〈理解〉を考えるときのそうした厄介な前提に、まずは向き合うことが本講義のテーマである。
グローバル化と現代世界Ａ,2017,第3クォーター,3H053,グローバル化が加速度的に進むなかで、これまで社会を支えてきた近代以来の様々な原理もその有効性が根底から揺らぎつつある。政治・経済の局面では非国家アクターの果たす役割が大きくなり、国境を超えた人・モノ・カネ等の移動・衝突・混淆が進行している。本授業では、グローバル化とはどのような現象であるのかをまず検討し、国境を前提にしてきた現代国家が、グローバル化のなかでどのような再編を迫られているのか、国際関係がどのように変容しつつあるのかを検討する。
心理学の基礎と歩み１,2017,第3クォーター,3H081,本講義では，現代心理学の歴史を概観的に学ぶ。第３クウォーターでは、感覚、知覚、記憶、学習の基礎的な心理学について学習する。
日本史,2017,第3クォーター,3H101,我が国の歴史は諸地域ごとの地理的条件に規定されながら、日本列島周辺のアジア諸地域をはじめとした世界の歴史との関わりを通じて展開してきた。この授業では日本史が前近代におけるアジア、近代以降の西洋世界と関連しながらどのように展開したか、具体的な地理的・地域的条件を踏まえながらその歴史像について学ぶ。
初等図工論１,2017,第3クォーター,3H110,造形表現と子どもの発達1―国内外の史的展開をふまえて考える。
グローバル化と現代世界Ｂ,2017,第4クォーター,4H053,グローバル化が加速度的に進むなかで、これまで社会を支えてきた近代の様々な原理もその有効性が根底から揺らぎつつある。政治・経済の局面では非国家的アクターの果たす役割が大きくなり、社会・文化の場面でも国境を越えた移動・衝突・混淆・変容などが進行している。この授業では、グローバル化の波のなかで近代社会の原理がどのような意味で問い直されているのか、それとともに文化システムがどのように変容しつつあるのかを検討することをつうじて、グローバル化する現代世界を批判的に捉える視座を養うことが目指される。
心理学の基礎と歩み２,2017,第4クォーター,4H081,本講義では，現代心理学の歴史を概観的に学ぶ。第4クウォーターでは、性格や社会、認知といった発展的知見を中心に習得する。
初等図工論２,2017,第4クォーター,4H110,造形表現と子どもの発達２―対話型美術鑑賞と造形表現
協働型リーダーシップ論,2017,第1クォーター,1H032,入学直後の1年生が卒業後の自らの将来像を想定しながら、学部の4年間で何を学ぶのか、どのように学ぶのか、何のために学ぶのかを考えるための科目である。社会の多様な人々と協働しながら、様々な場面でリーダーシップを取り、プロジェクトの達成や問題を解決する能力を養うことを目的とする。これは学部の理念である「協働型グローバル人材」の育成において重要な側面でもある。
中国社会文化論Ａ,2017,第1クォーター,1H056,「周辺からの中国」 　多民族国家という視点から現在中国が抱えている問題を体系的に説明すること　具体的に言えば、「周縁」という共通の地理的、社会的特徴を持つ中国南部地域のムスリム社会、新疆のウイグル族社会、そして香港のムスリム社会、台湾のムスリム社会及び台湾の原住民社会など中国及びその他の社会の周辺に重層的に位置する共同体社会を実例に、その文化、宗教、宗族、公共、地域社会、民族、国家に対する認識と反応を通じて、「周縁性」に対する感性、捉え方及び捉え方の変容を歴史的かつ動態的に把握し、彼らの実生活にとって周縁性の持つ意味はなにか、彼らはそれぞれいかなる対応をとったのか、その政治的、文化的、社会的、政治的原因はなにか、といった「周縁性」を巡る諸問題にある規則性を抽出し、「周縁性」が持つ社会的意義、思想的価値及び人文社会科学研究のツールになる可能性を検証する。
環大西洋文化論Ａ,2017,第1クォーター,1H057,現在のコーヒー・フードシステムの基礎は、主要なコーヒー生産国と消費国が集中する環大西洋地域で生み出されました。ヨーロッパ、南北アメリカ、アフリカ諸国は、絶え間なく繰り返される相互影響を通じてそれぞれ個性的なコーヒー文化を育んでいます。本講義は、トランスナショナルな視点からその複雑な歴史的相互関係を紐解いていきます。
中国社会文化論Ｂ,2017,第2クォーター,2H056,「周辺からの中国」 　多民族国家という視点から現在中国が抱えている問題を体系的に説明すること　具体的に言えば、「周縁」という共通の地理的、社会的特徴を持つ中国南部地域のムスリム社会、新疆のウイグル族社会、そして香港のムスリム社会、台湾のムスリム社会及び台湾の原住民社会など中国及びその他の社会の周辺に重層的に位置する共同体社会を実例に、その文化、宗教、宗族、公共、地域社会、民族、国家に対する認識と反応を通じて、「周縁性」に対する感性、捉え方及び捉え方の変容を歴史的かつ動態的に把握し、彼らの実生活にとって周縁性の持つ意味はなにか、彼らはそれぞれいかなる対応をとったのか、その政治的、文化的、社会的、政治的原因はなにか、といった「周縁性」を巡る諸問題にある規則性を抽出し、「周縁性」が持つ社会的意義、思想的価値及び人文社会科学研究のツールになる可能性を検証する。
環大西洋文化論Ｂ,2017,第2クォーター,2H057,現在のコーヒー・フードシステムの基礎は、主要なコーヒー生産国と消費国が集中する環大西洋地域で生み出されました。ヨーロッパ、南北アメリカ、アフリカ諸国は、絶え間なく繰り返される相互影響を通じてそれぞれ個性的なコーヒー文化を育んでいます。本講義は、トランスナショナルな視点からその複雑な歴史的相互関係を紐解いていきます。
