,科目名,トピック分布
59,日本社会文化論Ｂ,"[0.01056398, 0.30139086, 0.010601088, 0.010580493, 0.010535281, 0.6563283]"
60,文化人類学２,"[0, 0, 0.15784286, 0.82339126, 0, 0]"
61,フィールドワーク基礎論,"[0.78726476, 0, 0.059977, 0.13867006, 0, 0]"
62,異文化間教育論１,"[0, 0, 0, 0.5182628, 0, 0.45858085]"
63,初等算数論１,"[0, 0, 0, 0.49252933, 0.48149148, 0]"
64,異文化間教育論２,"[0, 0, 0, 0, 0, 0.953288]"
65,初等算数論２,"[0, 0, 0, 0.42786378, 0.5470969, 0]"
66,情報科学概論Ａ,"[0, 0, 0, 0.36651918, 0.11272162, 0.5063093]"
67,保育原理（世界と日本の乳幼児教育）１,"[0.016787924, 0.9158164, 0.016785251, 0.016906649, 0.01678159, 0.016922092]"
68,情報科学概論Ｂ,"[0, 0, 0, 0.13116038, 0.42990884, 0.4244884]"
69,保育原理（世界と日本の乳幼児教育）２,"[0, 0, 0, 0.29158595, 0, 0.67480606]"
70,文化政策論Ａ,"[0, 0, 0.4661933, 0.33672628, 0, 0.18714419]"
71,近現代社会思想論Ａ,"[0.041898407, 0.04183293, 0.04192862, 0.7904983, 0.041841783, 0.041999962]"
72,運動の巧みさの科学１,"[0, 0, 0, 0, 0, 0.9872486]"
73,文化政策論Ｂ,"[0, 0, 0.7920694, 0, 0, 0.19537237]"
74,近現代社会思想論Ｂ,"[0.041898686, 0.041833114, 0.04192893, 0.79046893, 0.041841976, 0.04202841]"
75,運動の巧みさの科学２,"[0, 0, 0, 0, 0, 0.9866443]"
76,社会学,"[0, 0, 0.62513584, 0, 0.3479445, 0]"
77,グローバルイシュー概論,"[0.59079283, 0.097902045, 0.16113424, 0, 0.14356789, 0]"
78,グローバルイシュー概論,"[0.5907877, 0.09790826, 0.16114792, 0, 0.14355306, 0]"
79,異文化コミュニケーション論,"[0.3935122, 0, 0, 0, 0, 0.5877013]"
80,グローバル化と現代世界Ａ,"[0, 0, 0.79605925, 0, 0, 0.18862776]"
81,心理学の基礎と歩み１,"[0, 0, 0, 0, 0.45715752, 0.5032772]"
82,日本史,"[0, 0.15631843, 0.30202386, 0, 0, 0.5267712]"
83,初等図工論１,"[0.018670067, 0.01883231, 0.018567018, 0.018670188, 0.018695628, 0.90656483]"
84,グローバル化と現代世界Ｂ,"[0, 0, 0.73987156, 0.1055663, 0, 0.14381102]"
85,心理学の基礎と歩み２,"[0.010472115, 0.010548604, 0.01051544, 0.6356847, 0.010515005, 0.32226408]"
86,初等図工論２,"[0.058678307, 0.22384958, 0.013935383, 0.014046303, 0.014031045, 0.6754593]"
87,協働型リーダーシップ論,"[0.6062308, 0, 0, 0.37687203, 0, 0]"
88,中国社会文化論Ａ,"[0.5670512, 0, 0.25795457, 0, 0.03873951, 0.13279234]"
89,環大西洋文化論Ａ,"[0.976744, 0, 0, 0, 0, 0]"
90,中国社会文化論Ｂ,"[0.5670474, 0, 0.25796184, 0, 0.038747627, 0.13278067]"
91,環大西洋文化論Ｂ,"[0.97674304, 0, 0, 0, 0, 0]"
92,保育内容研究（音楽表現）１,"[0.81334287, 0.01124476, 0.0111701, 0.14170262, 0.011249027, 0.011290635]"
93,保育内容研究（音楽表現）２,"[0.91587645, 0.016851982, 0.016735874, 0.016882848, 0.016897295, 0.01675554]"
94,教育原理１,"[0.012838576, 0.1959071, 0.012912999, 0.013002288, 0.012850162, 0.75248885]"
95,教育原理２,"[0.011174685, 0.01117044, 0.011180197, 0.011211249, 0.011171709, 0.94409174]"
96,国際開発援助論（ＪＩＣＡ）１,"[0, 0.81145513, 0, 0.17507882, 0, 0]"
97,国際開発援助論（ＪＩＣＡ）２,"[0, 0.81142765, 0, 0.1751068, 0, 0]"
98,コミュニティ論,"[0, 0, 0, 0.70571226, 0, 0.26222724]"
99,教育原理（世界と日本の学校教育）１,"[0, 0, 0, 0, 0, 0.95585597]"
100,教育原理（世界と日本の学校教育）２,"[0, 0, 0, 0, 0, 0.9558535]"
101,地域社会学,"[0.056108493, 0.055754866, 0.7201834, 0.056042198, 0.05588598, 0.056025095]"
102,初年次セミナー,"[0, 0, 0, 0.97122097, 0, 0]"
103,初年次セミナー,"[0, 0, 0, 0.97122097, 0, 0]"
104,初年次セミナー,"[0, 0, 0, 0.9712196, 0, 0]"
105,初年次セミナー,"[0, 0, 0, 0.97122097, 0, 0]"
106,初年次セミナー,"[0, 0, 0, 0.97122097, 0, 0]"
107,初年次セミナー,"[0, 0, 0, 0.97122097, 0, 0]"
108,初年次セミナー,"[0, 0, 0, 0.9712198, 0, 0]"
109,初年次セミナー,"[0, 0, 0, 0.97122097, 0, 0]"
110,初年次セミナー,"[0, 0, 0, 0.97122097, 0, 0]"
111,初年次セミナー,"[0, 0, 0, 0.96365666, 0, 0]"
112,初年次セミナー,"[0.43760103, 0, 0, 0.53665614, 0, 0]"
113,初年次セミナー,"[0.43758813, 0, 0, 0.5366691, 0, 0]"
114,初年次セミナー,"[0, 0, 0, 0.96365625, 0, 0]"
115,初年次セミナー,"[0, 0, 0, 0.9651764, 0, 0]"
116,初年次セミナー,"[0, 0, 0, 0.9651762, 0, 0]"
117,初年次セミナー,"[0.018541064, 0.018603157, 0.018533321, 0.90717137, 0.01856831, 0.018582713]"
118,初年次セミナー,"[0.018541066, 0.018602861, 0.018533323, 0.9071717, 0.01856831, 0.018582717]"
119,初年次セミナー,"[0.018541064, 0.018602893, 0.018533321, 0.9071716, 0.01856831, 0.018582802]"
120,初年次セミナー,"[0, 0, 0, 0.97122, 0, 0]"
121,グローバルイシュー演習,"[0, 0, 0.95600075, 0, 0, 0]"
122,グローバルイシュー演習,"[0, 0, 0.9560023, 0, 0, 0]"
123,グローバルイシュー演習,"[0, 0, 0.9560022, 0, 0, 0]"
124,グローバルイシュー演習,"[0, 0, 0.9560028, 0, 0, 0]"
125,グローバルイシュー演習,"[0, 0, 0.95600235, 0, 0, 0]"
126,グローバルイシュー演習,"[0, 0, 0.9560022, 0, 0, 0]"
127,グローバルイシュー演習,"[0, 0, 0.9560007, 0, 0, 0]"
128,グローバルイシュー演習,"[0, 0, 0.95600027, 0, 0, 0]"
129,グローバルイシュー演習,"[0, 0, 0.956001, 0, 0, 0]"
130,グローバルイシュー演習,"[0.027840706, 0.02780112, 0.86084956, 0.027807347, 0.027859831, 0.027841417]"
131,グローバルイシュー演習,"[0.023900347, 0.023923645, 0.02404468, 0.024001727, 0.8801567, 0.023972925]"
132,グローバルイシュー演習,"[0.023900349, 0.023923647, 0.024045004, 0.024001876, 0.8801562, 0.023972925]"
133,グローバルイシュー演習,"[0.023900352, 0.02392365, 0.024046794, 0.024001757, 0.8801545, 0.023972943]"
134,グローバルイシュー演習,"[0.02390035, 0.02392365, 0.02404697, 0.0240018, 0.8801543, 0.023972934]"
135,グローバルイシュー演習,"[0.023900399, 0.02392372, 0.024067992, 0.024002694, 0.88013214, 0.023973051]"
136,グローバルイシュー演習,"[0, 0, 0.9601195, 0, 0, 0]"
137,グローバルイシュー演習,"[0.027840674, 0.027801123, 0.8608495, 0.02780735, 0.02785999, 0.027841415]"
138,グローバルイシュー演習,"[0.027840797, 0.02780112, 0.86084944, 0.027807347, 0.027859893, 0.027841391]"
139,グローバルイシュー演習,"[0.02784075, 0.02780112, 0.86084926, 0.027807347, 0.027860072, 0.027841438]"
140,グローバルイシュー演習,"[0.027840657, 0.027801123, 0.8608496, 0.02780735, 0.027859898, 0.027841356]"
141,グローバル文化形成基礎演習Ａ,"[0.041879, 0.04256006, 0.042052377, 0.04211627, 0.7893303, 0.04206198]"
142,グローバル文化形成基礎演習Ａ,"[0.0335093, 0.033486776, 0.033561774, 0.8322273, 0.03362821, 0.03358668]"
143,グローバル文化形成基礎演習Ａ,"[0, 0.4665707, 0.2885543, 0, 0.05136494, 0.181882]"
144,グローバル文化形成基礎演習Ａ,"[0.8911311, 0, 0, 0, 0, 0.09443522]"
145,グローバル文化形成基礎演習Ａ,"[0, 0, 0, 0, 0.9662345, 0]"
146,グローバル社会動態基礎演習Ａ,"[0.014062987, 0.9296753, 0.014081621, 0.014060186, 0.014119945, 0.013999982]"
147,グローバル社会動態基礎演習Ａ,"[0, 0, 0.16486427, 0.063182175, 0, 0.7610619]"
148,グローバル社会動態基礎演習Ａ,"[0.011188847, 0.011217067, 0.7954971, 0.01126942, 0.0111858845, 0.15964162]"
149,グローバルコミュニケーション基礎演習Ａ,"[0.36265236, 0.16956817, 0.33046642, 0.012899814, 0.1114125, 0.01300079]"
150,グローバルコミュニケーション基礎演習Ａ,"[0, 0, 0.94677424, 0.031329334, 0.018545764, 0]"
151,グローバルコミュニケーション基礎演習Ａ,"[0, 0, 0.8687325, 0.12708873, 0, 0]"
152,情報リテラシー演習１,"[0.010464169, 0.0104639605, 0.010501416, 0.010561987, 0.9475308, 0.010477641]"
153,グローバル文化形成基礎演習Ｂ,"[0, 0.2162296, 0.48421854, 0.2728333, 0, 0]"
154,グローバル文化形成基礎演習Ｂ,"[0.03350985, 0.03348684, 0.03356293, 0.8322195, 0.033630427, 0.03359053]"
155,グローバル文化形成基礎演習Ｂ,"[0.011190581, 0.011252441, 0.011280161, 0.22664681, 0.44929752, 0.29033247]"
156,グローバル文化形成基礎演習Ｂ,"[0, 0, 0, 0, 0.57174593, 0.40133223]"
157,グローバル文化形成基礎演習Ｂ,"[0, 0, 0, 0, 0.9662358, 0]"
158,グローバル社会動態基礎演習Ｂ,"[0.014099286, 0.53686976, 0.014070644, 0.014013328, 0.40695047, 0.013996474]"
159,グローバル社会動態基礎演習Ｂ,"[0, 0.33185148, 0, 0, 0, 0.6285156]"
160,グローバル社会動態基礎演習Ｂ,"[0.011188849, 0.011217069, 0.79553807, 0.011269438, 0.0111858845, 0.15960069]"
161,グローバルコミュニケーション基礎演習Ｂ,"[0, 0, 0.10159027, 0, 0, 0.87597793]"
162,グローバルコミュニケーション基礎演習Ｂ,"[0, 0, 0.04095225, 0, 0, 0.9366025]"
163,グローバルコミュニケーション基礎演習Ｂ,"[0.011194878, 0.011172644, 0.011259812, 0.0112691885, 0.011226676, 0.9438768]"
164,情報リテラシー演習２,"[0, 0, 0, 0.9580953, 0, 0]"
165,情報リテラシー演習２,"[0, 0, 0, 0.958098, 0, 0]"
166,発達コミュニティ概論１,"[0, 0.13820502, 0, 0.2001318, 0, 0.6476759]"
167,環境共生学概論１,"[0, 0.7401944, 0.12571938, 0.122597605, 0, 0]"
168,子ども教育学概論１,"[0, 0.4546791, 0, 0.024865946, 0, 0.5051601]"
169,発達コミュニティ概論２,"[0, 0.13820693, 0, 0.20012134, 0, 0.64768445]"
170,環境共生学概論２,"[0.033891212, 0.83166146, 0.03393801, 0.033579916, 0.033507023, 0.03342239]"
171,子ども教育学概論２,"[0, 0.37908176, 0.4910106, 0.11581727, 0, 0]"
172,ＴＯＥＦＬ演習Ａ,"[0.97165376, 0, 0, 0, 0, 0.017777815]"
173,ＴＯＥＦＬ演習Ａ,"[0.92388505, 0.015161911, 0.015212465, 0.015202297, 0.015344153, 0.015194104]"
174,加齢の認知心理学１,"[0, 0.9852413, 0, 0, 0, 0]"
175,創造の発想とプロセスＡ,"[0.011158182, 0.0111564845, 0.80742866, 0.011190276, 0.011177565, 0.14788884]"
176,環境共生学概論３,"[0, 0, 0.10792661, 0.3037055, 0.23299171, 0.34875855]"
177,ＴＯＥＦＬ演習Ｂ,"[0.97165745, 0, 0, 0, 0, 0.017779568]"
178,ＴＯＥＦＬ演習Ｂ,"[0.92388606, 0.015161911, 0.015212463, 0.015202296, 0.015343136, 0.015194104]"
179,加齢の認知心理学２,"[0, 0.9852406, 0, 0, 0, 0]"
180,創造の発想とプロセスＢ,"[0.0280773, 0.028013492, 0.859824, 0.027995717, 0.027921427, 0.028168043]"
181,市民科学教育論,"[0.9351727, 0.0129946815, 0.012979989, 0.012964101, 0.012910064, 0.012978493]"
182,地球環境学１,"[0, 0.11796481, 0, 0, 0.44923818, 0.41752166]"
183,ソルフェージュ１,"[0.93989587, 0.012047518, 0.011979879, 0.012040565, 0.012049821, 0.01198639]"
184,地球環境学２,"[0, 0.14549586, 0, 0, 0.38042352, 0.45832056]"
185,ソルフェージュ２,"[0.35488442, 0.6055567, 0, 0, 0, 0]"
186,ＴＯＥＩＣ演習Ａ,"[0, 0, 0, 0, 0.987846, 0]"
187,数学科教育論Ａ１,"[0, 0, 0, 0.12464672, 0.85614, 0]"
188,健康運動科学１,"[0, 0.98003745, 0, 0, 0, 0]"
189,公害・環境史,"[0, 0.38148227, 0.3764635, 0.22260788, 0, 0]"
190,環境インフォマティクス,"[0, 0.34628183, 0.11378858, 0.07781301, 0.21407647, 0.2448629]"
191,初等算数科教育論１,"[0, 0, 0, 0, 0.97001433, 0]"
192,ＴＯＥＩＣ演習Ｂ,"[0, 0, 0, 0, 0.987845, 0]"
193,数学科教育論Ａ２,"[0.19895643, 0, 0, 0, 0.7818878, 0]"
194,健康運動科学２,"[0, 0.98003745, 0, 0, 0, 0]"
195,環境社会学,"[0, 0, 0.9766265, 0, 0, 0]"
196,初等算数科教育論２,"[0.014077173, 0.0140034, 0.013928221, 0.93003476, 0.014004086, 0.013952356]"
197,越境社会学Ａ,"[0.020969419, 0.021233669, 0.020986117, 0.021114217, 0.89449006, 0.021206468]"
198,深層心理学１,"[0, 0, 0, 0, 0.9559237, 0]"
199,セーフティプロモーション論,"[0, 0.7847272, 0, 0, 0.18159284, 0]"
200,環境資源植物科学,"[0.73521876, 0, 0, 0.25042957, 0, 0]"
201,保健体育科教育論Ｂ２,"[0, 0, 0.046948925, 0.42726508, 0.5028876, 0]"
202,越境社会学Ｂ,"[0.020969426, 0.021238208, 0.020986125, 0.021114245, 0.8944855, 0.021206494]"
203,深層心理学２,"[0, 0, 0, 0, 0.9581311, 0]"
204,環境物理学Ｂ,"[0, 0.43953627, 0, 0.15882134, 0, 0.37754884]"
205,ＴＯＥＩＣ演習Ａ,"[0, 0, 0, 0, 0.98784614, 0]"
206,博物館概論１,"[0, 0, 0, 0, 0, 0.9773911]"
207,グローバル文化形成基礎演習Ｃ,"[0, 0.16678958, 0.3712338, 0.43543452, 0, 0]"
208,グローバル文化形成基礎演習Ｃ,"[0.05598008, 0.05628531, 0.05618161, 0.7181683, 0.056561645, 0.056823064]"
209,声の表現１,"[0.30410415, 0.016829105, 0.016900292, 0.62854475, 0.016829716, 0.016791968]"
210,数理科学基礎,"[0, 0.31917378, 0, 0.66266155, 0, 0]"
211,教育行政学（幼・小）１,"[0.013966053, 0.014147227, 0.014000113, 0.9298944, 0.013952937, 0.014039235]"
212,ＴＯＥＩＣ演習Ｂ,"[0, 0, 0, 0, 0.98784554, 0]"
213,博物館概論２,"[0, 0, 0, 0, 0, 0.977391]"
214,グローバル文化形成基礎演習Ｄ,"[0, 0, 0.21254359, 0.7615695, 0, 0]"
215,グローバル文化形成基礎演習Ｄ,"[0.055980437, 0.056286126, 0.056182265, 0.71810347, 0.056566805, 0.056880902]"
216,声の表現２,"[0.7751881, 0.0105652, 0.010508767, 0.18268065, 0.010542014, 0.0105152475]"
217,環境物理学Ａ,"[0.012920545, 0.9352497, 0.013004541, 0.012978497, 0.012926648, 0.012920117]"
218,教育行政学（幼・小）２,"[0.013966063, 0.014157982, 0.014000129, 0.9298836, 0.013952945, 0.0140392585]"
219,現代ＩＴ入門Ａ,"[0.046972483, 0, 0.057194073, 0.097569816, 0.79338175, 0]"
220,英米テクスト文化論Ａ,"[0, 0, 0, 0, 0.96781445, 0]"
221,比較政策論Ａ,"[0, 0, 0.9910794, 0, 0, 0]"
222,コミュニケーション表現論１,"[0.63009745, 0.14974405, 0.20140345, 0, 0, 0]"
223,グローバル文化形成発展演習Ａ,"[0.033391014, 0.033398915, 0.033444796, 0.033821367, 0.03366036, 0.83228356]"
224,音楽文化史１,"[0, 0, 0.9533966, 0, 0, 0]"
225,発達心理学（中・高）１,"[0, 0, 0, 0, 0.9557391, 0]"
226,グラフィックサイエンス１,"[0, 0, 0.5678222, 0.25308087, 0, 0.16044532]"
227,初等国語科教育論１,"[0.0129453065, 0.01287617, 0.012847499, 0.9355767, 0.012890867, 0.012863494]"
228,乳児心理学演習,"[0.015196245, 0.015427907, 0.9235106, 0.015266533, 0.015340439, 0.015258245]"
229,現代ＩＴ入門Ｂ,"[0.044713497, 0, 0.07012822, 0.09929129, 0.7803419, 0]"
230,英米テクスト文化論Ｂ,"[0, 0, 0, 0, 0.9690372, 0]"
231,比較政策論Ｂ,"[0, 0, 0.9910792, 0, 0, 0]"
232,コミュニケーション表現論２,"[0, 0, 0.36402115, 0.13027355, 0, 0.4855117]"
233,グローバル文化形成発展演習Ｂ,"[0.024017168, 0.02394145, 0.35976928, 0.024269802, 0.02416122, 0.54384106]"
234,音楽文化史２,"[0, 0, 0.96193945, 0, 0, 0]"
235,発達心理学（中・高）２,"[0, 0, 0, 0, 0.95572937, 0]"
236,グラフィックサイエンス２,"[0, 0, 0.5978769, 0.23699954, 0, 0.14714108]"
237,初等国語科教育論２,"[0.012945934, 0.01287617, 0.012847499, 0.935576, 0.012890868, 0.012863495]"
238,国際コミュニケーション演習Ａ,"[0.03381441, 0.033454306, 0.033607677, 0.83178884, 0.033686265, 0.033648487]"
239,国際コミュニケーション演習Ａ,"[0, 0, 0.98648435, 0, 0, 0]"
240,Cultures and Societies in JAPAN A,"[0.016669309, 0.016703581, 0.9165102, 0.016772874, 0.01667382, 0.016670208]"
241,グローバル・ヒストリーＡ,"[0.4159202, 0, 0.0970552, 0.25049984, 0, 0.23023684]"
242,グローバル文化形成基礎演習Ｃ,"[0.18768902, 0.09174447, 0.25674945, 0.2751782, 0, 0.18537858]"
243,グローバルコミュニケーション基礎演習Ｃ,"[0.05565783, 0.055973716, 0.05584524, 0.72044975, 0.055836204, 0.056237258]"
244,心理グローバルリサーチ１,"[0.02094505, 0.021180399, 0.020911183, 0.021081155, 0.6327095, 0.28317273]"
245,環境保健学１,"[0, 0, 0, 0, 0.9649952, 0]"
246,環境地球科学Ａ,"[0.012871735, 0.9354959, 0.012896699, 0.012893898, 0.012929698, 0.012912069]"
247,生活空間計画論,"[0.015205171, 0.0151914405, 0.015244959, 0.9238809, 0.015210833, 0.015266709]"
248,倫理学,"[0, 0.105606645, 0, 0.0711548, 0.16652174, 0.6461738]"
249,発達障害心理学１,"[0.023883967, 0.023944052, 0.023915458, 0.02392103, 0.88041997, 0.02391554]"
250,乳幼児心理学１,"[0, 0.9600423, 0, 0, 0, 0]"
251,国際コミュニケーション演習Ｂ,"[0.033833705, 0.03345435, 0.033607792, 0.8317691, 0.033686437, 0.033648632]"
252,国際コミュニケーション演習Ｂ,"[0, 0, 0.9864845, 0, 0, 0]"
253,Cultures and Societies in JAPAN B,"[0.016671635, 0.016747337, 0.70547855, 0.22775355, 0.016676234, 0.016672652]"
254,グローバル・ヒストリーＢ,"[0.029870993, 0.036782753, 0.37990853, 0.1933664, 0.1376477, 0.22242363]"
255,グローバル文化形成基礎演習Ｄ,"[0.1800154, 0.094245285, 0.25247365, 0.25621477, 0.018837739, 0.19821317]"
256,グローバルコミュニケーション基礎演習Ｄ,"[0.041741032, 0.041985016, 0.04201881, 0.042145606, 0.041856855, 0.7902527]"
257,心理グローバルリサーチ２,"[0.020945057, 0.021180328, 0.020911185, 0.021081166, 0.6325448, 0.28333744]"
258,環境保健学２,"[0, 0, 0, 0, 0.9580122, 0]"
259,外国史,"[0.011971236, 0.01192869, 0.012034771, 0.9401004, 0.011943389, 0.012021519]"
260,発達障害心理学２,"[0.023909919, 0.023954306, 0.023901954, 0.023898156, 0.8804224, 0.023913212]"
261,乳幼児心理学２,"[0, 0.97001034, 0, 0, 0, 0]"
262,日本歴史文化論Ａ,"[0.35010463, 0.012907578, 0.012979791, 0.012931254, 0.012906533, 0.59817016]"
263,現代民族誌学１,"[0.3079107, 0, 0, 0.49341446, 0.17059006, 0]"
264,コミュニケーション構造論１,"[0, 0, 0.30280474, 0.4010519, 0, 0.2720242]"
265,グローバル社会動態発展演習Ａ,"[0, 0, 0, 0.9773268, 0, 0]"
266,グローバルコミュニケーション発展演習Ａ,"[0.11634145, 0.014165166, 0.014072113, 0.827276, 0.014118472, 0.014026844]"
267,臨床心理学１,"[0, 0, 0, 0.961916, 0, 0]"
268,声楽表現演習１,"[0.016746433, 0.01681865, 0.016846541, 0.016842414, 0.91594374, 0.01680226]"
269,数理科学入門（幾何系）,"[0, 0, 0, 0.9678182, 0, 0]"
270,環境基礎科学実験Ｃ１（主に化学）,"[0.015187799, 0.92390066, 0.015190762, 0.015297573, 0.015210636, 0.015212583]"
271,住環境論,"[0, 0, 0.953341, 0, 0, 0]"
272,発達障害と共生社会１,"[0.024050737, 0.023903124, 0.023924058, 0.8798837, 0.024195371, 0.024043044]"
273,グローバル共生社会論,"[0, 0, 0.70294017, 0, 0, 0.28965837]"
274,日本歴史文化論Ｂ,"[0.35010082, 0.012907577, 0.012979643, 0.012931252, 0.012906532, 0.59817415]"
275,現代民族誌学２,"[0.30734435, 0, 0, 0.49421284, 0.1703581, 0]"
276,コミュニケーション構造論２,"[0, 0, 0.13716905, 0.8292686, 0, 0]"
277,グローバル社会動態発展演習Ｂ,"[0, 0, 0, 0.9773288, 0, 0]"
278,グローバルコミュニケーション発展演習Ｂ,"[0.19486463, 0.010567511, 0.010578928, 0.010499264, 0.76299065, 0.010498952]"
279,臨床心理学２,"[0, 0, 0, 0.96191704, 0, 0]"
280,声楽表現演習２,"[0.5600127, 0, 0.40047884, 0, 0, 0]"
281,数理科学入門（解析系）,"[0.013893565, 0.01391196, 0.930408, 0.013922533, 0.013960524, 0.013903425]"
282,環境基礎科学実験Ｃ２（主に化学）,"[0.015187805, 0.923894, 0.015190769, 0.015304187, 0.015210646, 0.0152125945]"
283,発達障害と共生社会２,"[0.023914726, 0.024013974, 0.023937684, 0.8803099, 0.023880038, 0.023943644]"
